Name,Price,Rating
Realme 14 Pro Plus 5G,"₹34,990",89
Realme 14 Pro 5G,"₹29,990",83
OnePlus 13R 5G,"₹42,998",89
Poco X7 Pro,"₹27,999",85
OPPO Reno 13 Pro 5G,"₹49,999",91
Motorola Edge 50 Fusion,"₹20,999",85
Xiaomi Redmi Note 14,"₹17,398",85
Samsung Galaxy M35 5G,"₹14,918",81
Xiaomi Redmi Turbo 4,"₹23,990",86
Vivo V50 5G,"₹39,990",
OPPO Reno 13 5G,"₹37,999",87
OnePlus 13,"₹69,998",93
iQOO 13 5G,"₹54,998",91
Motorola Moto G85 5G,"₹16,999",80
Samsung Galaxy S25 Ultra,"₹1,24,990",84
Realme Neo 7,"₹24,990",86
Samsung Galaxy S25,"₹74,990",82
Motorola Moto Edge 50 Neo,"₹20,999",87
Motorola Moto G05,"₹6,999",
OnePlus Nord CE 3 Lite 5G,"₹15,503",85
